Episode,Reward,Loss,Epsilon
0,18,286.6084925,1
1,49,541.2394485,0.995
2,21,217.4784286,0.990025
3,-2,149.3627864,0.985074875
4,36,147.2171202,0.980149501
5,22,264.3126569,0.975248753
6,-21,196.8487272,0.970372509
7,18,269.8968219,0.965520647
8,85,244.7265902,0.960693044
9,22,110.1960675,0.955889578
10,0,172.1661706,0.95111013
11,-14,148.0970962,0.94635458
12,24,139.4166093,0.941622807
13,46,174.2628348,0.936914693
14,15,113.7574302,0.932230119
15,-15,89.34058619,0.927568969
16,126,162.66132,0.922931124
17,-45,99.23270893,0.918316468
18,-1,85.59587342,0.913724886
19,37,82.27191383,0.909156262
20,-3,77.12510693,0.90461048
21,-21,116.1610968,0.900087428
22,34,69.33478892,0.895586991
23,-26,107.8015323,0.891109056
24,32,64.57396886,0.886653511
25,-41,70.14394671,0.882220243
26,-10,50.0053286,0.877809142
27,-21,51.08195728,0.873420096
28,-7,139.0167156,0.869052996
29,-1,30.13261962,0.864707731
30,-18,84.99014807,0.860384192
31,-24,30.30469692,0.856082271
32,-15,37.85976136,0.85180186
33,14,59.92954487,0.84754285
34,-3,77.47473764,0.843305136
35,-15,44.25136971,0.83908861
36,-43,76.45729673,0.834893167
37,-21,53.22131318,0.830718701
38,1,50.40028918,0.826565108
39,53,126.7921867,0.822432282
40,5,48.52649808,0.818320121
41,-21,32.48527819,0.81422852
42,-8,87.76262909,0.810157378
43,13,102.1480073,0.806106591
44,-12,93.01686561,0.802076058
45,-29,53.79619902,0.798065678
46,19,74.26272333,0.794075349
47,27,166.1897168,0.790104973
48,-50,85.44043314,0.786154448
49,-33,86.25831413,0.782223675
50,-19,31.64687467,0.778312557
51,-29,41.12725383,0.774420994
52,-19,33.6106593,0.770548889
53,-11,44.10328305,0.766696145
54,-26,58.61603063,0.762862664
55,-31,40.35730505,0.759048351
56,9,75.02438676,0.755253109
57,24,55.32982749,0.751476844
58,-11,65.43614215,0.747719459
59,-10,50.76999772,0.743980862
60,-20,74.80611104,0.740260958
61,-3,43.92703962,0.736559653
62,8,59.33913672,0.732876855
63,1,34.45321953,0.72921247
64,-3,46.26246542,0.725566408
65,-31,111.3579762,0.721938576
66,-12,60.25946999,0.718328883
67,40,37.43306959,0.714737239
68,4,110.7810189,0.711163552
69,-72,54.15410662,0.707607735
70,18,57.09656906,0.704069696
71,-17,45.25029075,0.700549348
72,10,65.15432116,0.697046601
73,2,64.09316677,0.693561368
74,-15,11.41554463,0.690093561
75,-22,83.133378,0.686643093
76,50,157.3877286,0.683209878
77,57,76.38490695,0.679793828
78,-11,43.69099033,0.676394859
79,-7,76.3598212,0.673012885
80,-50,40.40508431,0.66964782
81,38,92.17722917,0.666299581
82,47,110.0308471,0.662968083
83,3,80.50183642,0.659653243
84,42,74.34790286,0.656354977
85,-12,70.76004618,0.653073202
86,128,106.8825551,0.649807836
87,-21,26.06372434,0.646558797
88,-19,60.33794117,0.643326003
89,11,108.3050774,0.640109373
90,119,109.0966034,0.636908826
91,-51,130.6405419,0.633724282
92,-6,48.65072346,0.63055566
93,15,55.70122892,0.627402882
94,65,109.5851631,0.624265868
95,-2,31.08615249,0.621144538
96,-33,44.22297955,0.618038816
97,-40,55.92688644,0.614948622
98,86,111.9127581,0.611873878
99,-7,78.09365961,0.608814509
100,-31,37.74220455,0.605770436
101,50,79.07793742,0.602741584
102,-8,76.87716797,0.599727876
103,-9,66.96506822,0.596729237
104,-32,57.01971531,0.593745591
105,30,128.0894528,0.590776863
106,13,49.29519624,0.587822979
107,30,129.0007814,0.584883864
108,28,58.06532288,0.581959444
109,-38,48.71340382,0.579049647
110,39,130.9383973,0.576154399
111,-9,58.55936706,0.573273627
112,-4,60.53837371,0.570407259
113,-22,35.83087647,0.567555222
114,31,99.40325832,0.564717446
115,-4,297.8931713,0.561893859
116,0,444.0000243,0.55908439
117,31,425.2481413,0.556288968
118,-21,186.4521494,0.553507523
119,-5,134.7341781,0.550739985
120,34,402.9840119,0.547986285
121,16,511.9216993,0.545246354
122,85,442.8619409,0.542520122
123,17,408.531878,0.539807522
124,8,235.4407821,0.537108484
125,15,314.3781569,0.534422942
126,27,238.5870581,0.531750827
127,-6,345.3648226,0.529092073
128,41,352.7910991,0.526446612
129,5,197.8349113,0.523814379
130,2,209.0849907,0.521195307
131,65,456.9600716,0.518589331
132,83,499.4361222,0.515996384
133,-21,119.36148,0.513416402
134,44,304.7540054,0.51084932
135,-33,105.3585086,0.508295074
136,-30,256.0806847,0.505753598
137,28,391.2489936,0.50322483
138,-31,132.2157769,0.500708706
139,28,213.9755055,0.498205163
140,64,241.562398,0.495714137
141,17,550.2315586,0.493235566
142,-11,271.1000729,0.490769388
143,-14,226.5040345,0.488315541
144,-32,79.68294024,0.485873964
145,-45,332.6806533,0.483444594
146,35,320.5706367,0.481027371
147,14,330.4735045,0.478622234
148,70,306.0003154,0.476229123
149,21,173.8244379,0.473847977
150,-12,67.03132653,0.471478737
151,-22,97.65837371,0.469121344
152,103,211.5278976,0.466775737
153,16,113.9006917,0.464441858
154,-26,186.7730703,0.462119649
155,10,149.4864402,0.459809051
156,95,342.3353884,0.457510006
157,18,195.1024423,0.455222456
158,94,220.0320423,0.452946343
159,0,152.2836751,0.450681612
160,6,263.6760944,0.448428203
161,-8,221.3775183,0.446186062
162,9,173.7134167,0.443955132
163,12,234.9120929,0.441735356
164,-7,137.7227979,0.43952668
165,-28,96.32179737,0.437329046
166,66,215.8067433,0.435142401
167,96,303.898257,0.432966689
168,22,125.9655446,0.430801856
169,-68,238.9268775,0.428647846
170,-25,128.0906129,0.426504607
171,-26,200.5464621,0.424372084
172,-10,129.6699231,0.422250224
173,-27,119.5167211,0.420138973
174,49,127.4342766,0.418038278
175,-32,155.9568781,0.415948086
176,-108,219.944762,0.413868346
177,-28,56.56242847,0.411799004
178,-18,53.13872838,0.409740009
179,8,90.40577519,0.407691309
180,-54,91.88633299,0.405652853
181,-2,58.26123285,0.403624588
182,-8,114.5858805,0.401606465
183,-25,70.41156602,0.399598433
184,61,162.4523427,0.397600441
185,-45,50.7852006,0.395612439
186,123,307.7336626,0.393634376
187,136,193.4643387,0.391666205
188,-8,176.9794385,0.389707874
189,-23,229.0159444,0.387759334
190,28,147.0866209,0.385820537
191,83,183.2251399,0.383891435
192,15,96.22145629,0.381971978
193,27,110.2516482,0.380062118
194,47,226.4985003,0.378161807
195,-8,197.6859303,0.376270998
196,59,230.5004058,0.374389643
197,152,177.2496886,0.372517695
198,-32,58.34309089,0.370655106
199,-1,242.7269588,0.368801831
200,-23,94.96433878,0.366957822
201,9,117.7856121,0.365123033
202,10,149.3928545,0.363297417
203,-52,116.0328203,0.36148093
204,31,101.260366,0.359673526
205,-21,43.68842125,0.357875158
206,-8,76.2608434,0.356085782
207,1,103.0285556,0.354305353
208,70,116.8716612,0.352533827
209,-40,57.95573676,0.350771157
210,80,170.9751083,0.349017302
211,5,113.3374019,0.347272215
212,-19,69.1439786,0.345535854
213,-48,111.7383537,0.343808175
214,-14,65.94128811,0.342089134
215,24,126.866003,0.340378688
216,41,107.1833802,0.338676795
217,-14,87.49842691,0.336983411
218,-37,73.62975442,0.335298494
219,-23,68.63225412,0.333622001
220,-7,135.6518241,0.331953891
221,106,143.2925057,0.330294122
222,-11,51.97360766,0.328642651
223,-20,139.7056139,0.326999438
224,46,103.6124172,0.325364441
225,27,181.0872684,0.323737619
226,-13,114.1716272,0.322118931
227,7,96.2395854,0.320508336
228,31,387.3328817,0.318905794
229,-18,372.5471325,0.317311265
230,37,860.0468965,0.315724709
231,4,447.0885148,0.314146085
232,-38,632.7487693,0.312575355
233,-31,370.9860306,0.311012478
234,29,421.0299072,0.309457416
235,-27,177.8407674,0.307910129
236,-33,70.14420938,0.306370578
237,-61,170.2478514,0.304838725
238,7,280.4128475,0.303314532
239,-10,105.7947769,0.301797959
240,28,453.3165095,0.300288969
241,53,684.1098812,0.298787524
242,21,360.5770826,0.297293587
243,36,333.9464335,0.295807119
244,-19,218.7558928,0.294328083
245,89,517.572036,0.292856443
246,-31,175.1250429,0.29139216
247,27,277.0712278,0.2899352
248,-33,265.7077036,0.288485524
249,38,351.4138405,0.287043096
250,-3,236.5376067,0.285607881
251,21,304.2300735,0.284179841
252,22,281.3024378,0.282758942
253,-23,290.7421269,0.281345147
254,46,559.0357103,0.279938422
255,-4,365.8359237,0.278538729
256,-54,211.1882689,0.277146036
257,-20,143.097086,0.275760306
258,23,277.2794402,0.274381504
259,-41,290.1700096,0.273009597
260,-32,77.09032631,0.271644549
261,-25,106.459343,0.270286326
262,57,377.7898679,0.268934894
263,-33,175.0902562,0.26759022
264,69,265.4733813,0.266252269
265,16,313.9427137,0.264921007
266,-32,133.3424349,0.263596402
267,-8,165.9856384,0.26227842
268,-36,164.2108278,0.260967028
269,48,280.0366693,0.259662193
270,-3,375.854192,0.258363882
271,1,288.9635649,0.257072063
272,-41,120.2777634,0.255786702
273,-41,148.6946115,0.254507769
274,-32,109.7866931,0.25323523
275,-30,66.09845161,0.251969054
276,-5,714.8683828,0.250709209
277,25,198.1819379,0.249455662
278,30,297.5747128,0.248208384
279,-16,160.6507663,0.246967342
280,104,403.5982378,0.245732506
281,39,290.7667232,0.244503843
282,68,302.3280144,0.243281324
283,39,567.8004203,0.242064917
284,17,245.759212,0.240854593
285,70,474.500217,0.23965032
286,32,279.1255145,0.238452068
287,9,170.4808211,0.237259808
288,-15,137.1263709,0.236073509
289,-10,339.9109812,0.234893141
290,-5,256.9982462,0.233718675
291,-54,392.5500541,0.232550082
292,-22,224.5405405,0.231387332
293,-15,178.1891167,0.230230395
294,119,399.4174447,0.229079243
295,16,152.7180271,0.227933847
296,60,246.0454242,0.226794178
297,-33,136.833431,0.225660207
298,57,474.7479603,0.224531906
299,-10,136.9808825,0.223409246
300,49,276.3058586,0.2222922
301,9,254.0356083,0.221180739
302,-36,110.8743434,0.220074835
303,-14,85.74626803,0.218974461
304,96,237.1324815,0.217879589
305,-9,145.6327891,0.216790191
306,-21,108.3317642,0.21570624
307,0,123.0380483,0.214627709
308,55,312.7299287,0.21355457
309,-31,71.63876796,0.212486797
310,-30,325.634141,0.211424363
311,14,262.4464459,0.210367241
312,48,318.5905799,0.209315405
313,-9,161.1807656,0.208268828
314,29,134.2277682,0.207227484
315,13,280.848402,0.206191347
316,85,526.1285534,0.20516039
317,-16,147.6353981,0.204134588
318,116,462.6077757,0.203113915
319,44,284.488158,0.202098345
320,19,431.9811392,0.201087854
321,8,328.3167176,0.200082414
322,116,280.8151863,0.199082002
323,46,385.0043595,0.198086592
324,-21,63.58875537,0.197096159
325,77,315.7599063,0.196110679
326,42,259.8018563,0.195130125
327,26,321.827793,0.194154475
328,101,376.9417698,0.193183702
329,30,204.0939977,0.192217784
330,126,343.2162907,0.191256695
331,134,254.3214121,0.190300411
332,49,218.6894133,0.189348909
333,15,173.3818254,0.188402165
334,56,319.706239,0.187460154
335,6,497.4677769,0.186522853
336,33,324.92986,0.185590239
337,121,446.9142668,0.184662288
338,-11,237.790421,0.183738976
339,-37,153.4036992,0.182820281
340,41,209.0405025,0.18190618
341,66,405.2352948,0.180996649
342,116,512.3902242,0.180091666
343,16,211.9834371,0.179191207
344,73,981.4904374,0.178295251
345,16,691.7438641,0.177403775
346,9,267.2476473,0.176516756
347,-33,321.3585949,0.175634172
348,-17,591.4247446,0.174756002
349,-26,781.5823517,0.173882222
350,-3,503.1663456,0.17301281
351,131,1320.200957,0.172
352,46,395.9395847,0.17114
353,65,497.5214643,0.1702843
354,-36,366.4448476,0.169432879
355,55,282.2654881,0.168585714
356,80,614.9907503,0.167742786
357,43,306.7392859,0.166904072
358,-24,100.3388863,0.166069551
359,-38,230.3979893,0.165239203
360,-43,94.49658179,0.164413007
361,31,205.6075966,0.163590942
362,-16,193.8109922,0.162772988
363,-33,81.93829584,0.161959123
364,-53,257.0805392,0.161149327
365,-33,102.267251,0.160343581
366,-33,118.8856382,0.159541863
367,-21,62.30151963,0.158744153
368,-13,341.1728842,0.157950433
369,-7,381.1996989,0.15716068
370,-45,170.7042551,0.156374877
371,-40,371.4730444,0.155593003
372,-21,195.9446211,0.154815038
373,-14,309.5817871,0.154040962
374,0,105.1893768,0.153270758
375,-10,99.70768309,0.152504404
376,-24,191.9464526,0.151741882
377,-25,97.18298554,0.150983172
378,-20,97.67300034,0.150228257
379,-7,175.6678081,0.149477115
380,-33,106.3509378,0.14872973
381,-16,248.0260153,0.147986081
382,-23,126.5406485,0.147246151
383,-26,220.0775297,0.14650992
384,-29,130.198854,0.14577737
385,10,326.1161003,0.145048483
386,-33,71.26287961,0.144323241
387,-41,66.84780896,0.143601625
388,-40,114.710417,0.142883617
389,-19,206.3734186,0.142169199
390,-23,126.2151318,0.141458353
391,-50,197.6982458,0.140751061
392,-23,98.33384609,0.140047306
393,-25,186.369586,0.139347069
394,47,213.7031636,0.138650334
395,-33,87.4701376,0.137957082
396,-26,151.8404422,0.137267297
397,-14,75.40101933,0.13658096
398,-23,90.88395667,0.135898055
399,-53,119.4521224,0.135218565
400,63,502.0600605,0.134542472
401,5,405.3424888,0.13386976
402,-18,15.51839066,0.133200411
403,-10,202.6586895,0.132534409
404,-21,114.9206657,0.131871737
405,-10,105.2320662,0.131212378
406,10,159.4317195,0.130556316
407,-2,97.18157649,0.129903535
408,8,189.8300307,0.129254017
409,37,121.6374793,0.128607747
410,27,123.3267801,0.127964708
411,37,141.4143469,0.127324885
412,-23,99.65288544,0.12668826
413,17,144.0638206,0.126054819
414,-3,76.04302311,0.125424545
415,-39,193.3449922,0.124797422
416,-23,42.96763599,0.124173435
417,12,137.7166078,0.123552568
418,1,180.5999048,0.122934805
419,-25,156.5571823,0.122320131
420,-15,83.56613302,0.12170853
421,-37,91.0655145,0.121099988
422,16,422.5883968,0.120494488
423,26,241.5551131,0.119892015
424,53,295.1586732,0.119292555
425,-15,54.93566155,0.118696092
426,42,410.14152,0.118102612
427,3,103.6274973,0.117512099
428,-13,61.78905392,0.116924538
429,-13,56.84740877,0.116339916
430,-32,160.3023405,0.115758216
431,-37,116.4676318,0.115179425
432,-15,69.30816126,0.114603528
433,-29,70.16042686,0.11403051
434,-21,48.87058401,0.113460358
435,-24,132.3202128,0.112893056
436,-15,78.96670318,0.112328591
437,-11,138.2820024,0.111766948
438,-33,86.65500927,0.111208113
439,-23,71.24964428,0.110652072
440,-6,155.3135179,0.110098812
441,10,171.0312085,0.109548318
442,14,162.8033974,0.109000576
443,-27,120.4950641,0.108455574
444,0,143.0699294,0.107913296
445,52,281.4959774,0.107373729
446,18,201.8119278,0.106836861
447,-23,62.5376091,0.106302676
448,-41,53.90997028,0.105771163
449,-49,99.26049995,0.105242307
450,7,101.6544709,0.104716096
451,-41,109.4859524,0.104192515
452,-31,50.57420778,0.103671553
453,-15,70.19265187,0.103153195
454,-23,55.71645641,0.102637429
455,19,290.7574205,0.102124242
456,-33,50.59936953,0.10161362
457,-23,65.30609131,0.101105552
458,47,95.86356056,0.100600025
459,5,114.9203964,0.100097024
460,-22,99.44864798,0.1
461,-31,109.5177331,0.1
462,-3,71.20109653,0.1
463,-41,62.53977919,0.1
464,-21,297.7744219,0.1
465,-20,224.4567637,0.1
466,8,206.0874987,0.1
467,35,211.7958834,0.1
468,-8,204.3634841,0.1
469,6,165.1047556,0.1
470,-10,128.2540812,0.1
471,23,240.9604685,0.1
472,39,203.4671304,0.1
473,-23,48.51341599,0.1
474,-19,154.4114647,0.1
475,45,317.7989707,0.1
476,35,184.9163685,0.1
477,-15,134.4715934,0.1
478,-19,161.0577714,0.1
479,42,261.5223882,0.1
480,-57,80.05014479,0.1
481,2,318.2269713,0.1
482,-47,91.0010066,0.1
483,0,113.9887359,0.1
484,-23,21.38714671,0.1
485,-60,148.2854846,0.1
486,-35,120.8358598,0.1
487,-5,162.3345451,0.1
488,42,231.0247365,0.1
489,27,336.3932931,0.1
490,27,92.64108706,0.1
491,-9,93.00121903,0.1
492,-30,104.0188007,0.1
493,-29,71.91672421,0.1
494,-25,72.77490628,0.1
495,19,127.0090889,0.1
496,17,131.053616,0.1
497,-3,74.37784314,0.1
498,16,103.9707733,0.1
499,-25,160.9946275,0.1
500,6,105.8576974,0.1
501,30,152.202728,0.1
502,-14,73.67359412,0.1
503,-21,27.60392952,0.1
504,-30,223.1841028,0.1
505,-55,130.044174,0.1
506,-16,142.4408964,0.1
507,-1,493.9360332,0.1
508,38,330.6166172,0.1
509,-44,355.4131179,0.1
510,-16,300.9929786,0.1
511,1,198.0449388,0.1
512,-17,370.7543797,0.1
513,-3,208.932323,0.1
514,11,246.0089006,0.1
515,-15,146.9897094,0.1
516,9,323.9387054,0.1
517,49,501.6191521,0.1
518,17,228.820174,0.1
519,35,286.8314164,0.1
520,23,205.9960763,0.1
521,42,153.003232,0.1
522,56,295.1839514,0.1
523,3,309.3515749,0.1
524,-6,236.2574553,0.1
525,-14,200.1021962,0.1
526,-1,120.3635845,0.1
527,18,188.7761087,0.1
528,27,159.1851857,0.1
529,64,270.8476486,0.1
530,-7,383.8879663,0.1
531,-4,243.2454934,0.1
