Episode,Reward,Loss,Epsilon
0,34,251.7784331,1
1,57,398.3374043,0.995
2,104,595.335964,0.990025
3,-14,234.6822906,0.985074875
4,96,423.2288057,0.980149501
5,8,294.8673818,0.975248753
6,24,339.8790005,0.970372509
7,-6,138.5853472,0.965520647
8,19,184.5661733,0.960693044
9,30,195.0995507,0.955889578
10,-19,143.1866885,0.95111013
11,29,156.0517281,0.94635458
12,30,149.7923792,0.941622807
13,60,95.77637887,0.936914693
14,-49,300.510043,0.932230119
15,9,172.0484979,0.927568969
16,25,175.6841775,0.922931124
17,14,159.1503217,0.918316468
18,-9,80.47730863,0.913724886
19,-51,88.3441807,0.909156262
20,-125,336.3922082,0.90461048
21,54,172.1977417,0.900087428
22,158,426.8027125,0.895586991
23,20,150.3235495,0.891109056
24,74,202.7884111,0.886653511
25,45,233.5746255,0.882220243
26,23,134.2473664,0.877809142
27,21,83.01480377,0.873420096
28,-25,331.2987203,0.869052996
29,104,373.6059376,0.864707731
30,-45,41.203794,0.860384192
31,17,143.3079118,0.856082271
32,-7,67.82794988,0.85180186
33,32,264.2101786,0.84754285
34,20,389.6692104,0.843305136
35,0,312.9053752,0.83908861
36,-29,245.4224806,0.834893167
37,55,228.9604065,0.830718701
38,8,194.5394483,0.826565108
39,73,155.6463971,0.822432282
40,55,142.7366464,0.818320121
41,-2,423.7560767,0.81422852
42,57,196.3847342,0.810157378
43,48,216.6490054,0.806106591
44,-42,48.45742631,0.802076058
45,47,261.6329598,0.798065678
46,-79,122.8466967,0.794075349
47,-36,178.5361402,0.790104973
48,28,147.9502474,0.786154448
49,58,208.2732444,0.782223675
50,-9,186.2607942,0.778312557
51,9,292.7665718,0.774420994
52,4,101.4120489,0.770548889
53,2,172.5263011,0.766696145
54,69,121.13117,0.762862664
55,-11,66.64620054,0.759048351
56,-43,71.24766725,0.755253109
57,4,212.6804602,0.751476844
58,-7,64.10327876,0.747719459
59,21,273.309103,0.743980862
60,29,70.63843876,0.740260958
61,-6,106.2475796,0.736559653
62,38,99.41474217,0.732876855
63,-17,157.4765255,0.72921247
64,-36,56.70425534,0.725566408
65,67,145.466952,0.721938576
66,51,241.4725578,0.718328883
67,-10,87.12452507,0.714737239
68,-28,107.9504991,0.711163552
69,58,155.2717606,0.707607735
70,-25,34.36508417,0.704069696
71,74,339.7980484,0.700549348
72,21,124.9413285,0.697046601
73,12,147.2629207,0.693561368
74,34,264.8557041,0.690093561
75,28,118.6081982,0.686643093
76,-10,174.4910143,0.683209878
77,46,974.4231026,0.679793828
78,24,701.5057225,0.676394859
79,-3,263.6025414,0.673012885
80,-9,166.3503771,0.66964782
81,-7,217.4652462,0.666299581
82,-18,327.4122485,0.662968083
83,-7,211.8776021,0.659653243
84,110,622.8333504,0.656354977
