Episode,Reward,Loss,Epsilon
0,30,257.7661448,1
1,7,402.4969559,0.997
2,7,267.027538,0.994009
3,82,254.8874163,0.991026973
4,44,221.1104505,0.988053892
5,50,216.7901202,0.98508973
6,-24,273.2234436,0.982134461
7,37,159.516642,0.979188058
8,33,122.6042008,0.976250494
9,42,104.6710678,0.973321742
10,45,123.1872827,0.970401777
11,92,124.7245734,0.967490572
12,45,265.953559,0.9645881
13,5,148.0106477,0.961694336
14,39,65.57236826,0.958809253
15,17,131.5858054,0.955932825
16,5,82.91109926,0.953065026
17,77,106.8068191,0.950205831
18,106,162.4063691,0.947355214
19,61,121.057064,0.944513148
20,16,51.49917966,0.941679609
21,0,114.3534253,0.93885457
22,9,75.68851748,0.936038006
23,31,200.4462742,0.933229892
24,31,69.17701134,0.930430202
25,69,126.1181267,0.927638912
26,141,137.2767138,0.924855995
27,-10,137.4302096,0.922081427
28,25,34.16475025,0.919315183
29,-5,35.36813182,0.916557237
30,-36,270.5073445,0.913807566
31,55,107.4411707,0.911066143
32,40,61.77620327,0.908332944
33,17,44.93707135,0.905607946
34,44,79.78356802,0.902891122
35,-6,180.2246213,0.900182448
36,17,316.544554,0.897481901
37,57,219.7330906,0.894789455
38,33,81.60400128,0.892105087
39,29,97.33965364,0.889428772
40,35,60.96816581,0.886760485
41,-13,50.19438839,0.884100204
42,7,54.55686569,0.881447903
43,8,206.975058,0.87880356
44,21,68.04828966,0.876167149
45,-1,89.89717615,0.873538648
46,35,160.0265978,0.870918032
47,24,53.42930102,0.868305278
48,67,124.7148281,0.865700362
49,90,166.9937322,0.863103261
50,4,43.89535901,0.860513951
51,40,106.0797396,0.857932409
52,5,34.41415036,0.855358612
53,10,86.42274266,0.852792536
54,4,34.78117633,0.850234158
55,45,92.19625846,0.847683456
56,-52,123.4657812,0.845140405
57,2,37.24532318,0.842604984
58,28,49.43533182,0.840077169
59,28,26.61425081,0.837556938
60,25,133.7595198,0.835044267
61,-22,96.61778635,0.832539134
