Episode,Reward,Loss,Epsilon
0,-24,212.6997058,1
1,-40,484.841957,0.995
2,14,537.0460154,0.990025
3,91,252.0136552,0.985074875
4,39,138.8221733,0.980149501
5,2,152.4001688,0.975248753
6,56,149.9096899,0.970372509
7,29,368.9033298,0.965520647
8,20,120.538868,0.960693044
9,-24,179.8784978,0.955889578
10,78,196.7383569,0.95111013
11,7,109.622778,0.94635458
12,21,122.2793443,0.941622807
13,54,161.9296919,0.936914693
14,-31,93.53539431,0.932230119
15,54,225.4404588,0.927568969
16,-35,116.2247345,0.922931124
17,-13,51.88324177,0.918316468
18,-14,178.127547,0.913724886
19,-17,93.15940696,0.909156262
20,19,100.4071186,0.90461048
21,68,89.29637837,0.900087428
22,6,59.6659199,0.895586991
23,15,53.82027107,0.891109056
24,-22,46.7076948,0.886653511
25,46,94.12848893,0.882220243
26,3,74.26096165,0.877809142
27,81,52.04652575,0.873420096
28,37,62.63756341,0.869052996
29,-14,80.62053812,0.864707731
30,-12,40.59213477,0.860384192
31,93,165.9601898,0.856082271
32,14,40.94168168,0.85180186
33,-62,55.34200799,0.84754285
34,2,71.60795254,0.843305136
35,-8,166.7684125,0.83908861
36,7,75.17301869,0.834893167
37,19,115.761668,0.830718701
38,-9,68.52904588,0.826565108
39,-47,81.57904106,0.822432282
40,-28,61.92874587,0.818320121
41,45,79.65199447,0.81422852
42,23,252.808832,0.810157378
43,-23,119.432018,0.806106591
44,-29,252.1413383,0.802076058
45,49,469.3943233,0.798065678
46,-48,199.199258,0.794075349
47,-14,90.76317382,0.790104973
48,3,121.6514018,0.786154448
49,-51,139.0946417,0.782223675
50,-5,181.1599832,0.778312557
51,-71,410.6597601,0.774420994
52,-25,173.6746257,0.770548889
53,108,208.6759672,0.766696145
54,31,136.0204496,0.762862664
55,-4,104.1031283,0.759048351
56,-41,94.44008601,0.755253109
57,-29,42.86163402,0.751476844
58,-35,138.0942845,0.747719459
59,95,196.6480506,0.743980862
60,31,112.0535164,0.740260958
61,-7,154.7421637,0.736559653
62,-19,109.3732181,0.732876855
63,59,168.7968629,0.72921247
64,1,107.9811651,0.725566408
65,73,185.3358055,0.721938576
66,-10,76.13945222,0.718328883
67,40,95.15592611,0.714737239
68,50,169.07557,0.711163552
69,-23,57.19084394,0.707607735
70,0,55.74563181,0.704069696
71,-28,52.60981247,0.700549348
72,-15,81.26419765,0.697046601
73,-38,151.0414727,0.693561368
74,-3,74.36607796,0.690093561
75,-28,99.90659618,0.686643093
76,53,98.46653569,0.683209878
77,3,128.4152385,0.679793828
78,13,50.31238896,0.676394859
79,29,48.06374788,0.673012885
80,69,127.2421993,0.66964782
81,-21,78.37063235,0.666299581
82,25,246.1678579,0.662968083
83,-25,87.58919394,0.659653243
84,29,72.07173091,0.656354977
85,-21,55.55589908,0.653073202
86,2,194.342836,0.649807836
87,111,439.3062313,0.646558797
88,-15,203.0930724,0.643326003
89,-9,126.0317359,0.640109373
90,-12,148.124445,0.636908826
91,-29,212.1449243,0.633724282
92,53,331.6794975,0.63055566
93,9,164.5547597,0.627402882
94,-48,191.3260278,0.624265868
95,-3,123.1028297,0.621144538
96,9,176.195719,0.618038816
97,66,199.2389619,0.614948622
98,-29,106.8317976,0.611873878
99,-22,132.9022276,0.608814509
100,32,116.6368191,0.605770436
101,-32,98.07004118,0.602741584
102,-14,187.8022044,0.599727876
103,50,310.6317701,0.596729237
104,22,165.1556566,0.593745591
105,143,280.3452085,0.590776863
106,55,99.95152676,0.587822979
107,63,237.5519797,0.584883864
108,64,412.0481611,0.581959444
109,-5,133.5809503,0.579049647
110,16,107.1450615,0.576154399
111,-18,81.92590773,0.573273627
112,-18,78.98987615,0.570407259
113,12,103.1899872,0.567555222
114,25,105.4827731,0.564717446
115,-41,100.6496563,0.561893859
116,-28,91.57204294,0.55908439
117,-25,175.1448474,0.556288968
118,74,127.5998576,0.553507523
119,116,214.331328,0.550739985
120,7,74.63335788,0.547986285
121,1,65.24236798,0.545246354
122,-56,86.2991066,0.542520122
123,55,187.1715,0.539807522
124,-4,45.51426506,0.537108484
125,87,407.4917029,0.534422942
126,3,92.85017049,0.531750827
127,10,159.06294,0.529092073
128,-13,158.6640551,0.526446612
129,-15,92.58428848,0.523814379
130,-16,70.75551096,0.521195307
131,-21,123.5509955,0.518589331
132,9,72.95696008,0.515996384
133,-27,370.295139,0.513416402
134,-8,350.5828052,0.51084932
135,94,845.904891,0.508295074
136,39,297.7777667,0.505753598
137,108,1007.017047,0.50322483
138,48,887.503438,0.500708706
139,36,276.6053472,0.498205163
140,-21,144.9182372,0.495714137
141,1,181.5356946,0.493235566
142,18,281.763571,0.490769388
143,129,461.9912183,0.488315541
144,-7,536.8652105,0.485873964
145,-8,495.6055737,0.483444594
146,27,277.263936,0.481027371
147,-12,554.6277947,0.478622234
148,-4,546.2201065,0.476229123
149,27,191.883213,0.473847977
150,27,320.6938291,0.471478737
151,3,160.3314583,0.469121344
152,-21,73.50160766,0.466775737
153,-1,61.39637828,0.464441858
154,-6,151.0641918,0.462119649
155,-7,339.2282095,0.459809051
156,-50,70.70925784,0.457510006
157,4,186.8355575,0.455222456
158,-29,171.1497324,0.452946343
159,-6,226.5509968,0.450681612
160,23,278.1127882,0.448428203
161,-6,157.5780261,0.446186062
162,-58,148.2008963,0.443955132
163,42,233.3542087,0.441735356
164,56,288.1308651,0.43952668
165,72,431.5264826,0.437329046
166,127,828.6324027,0.435142401
167,-34,156.7099161,0.432966689
168,23,136.4863006,0.430801856
169,5,136.3452098,0.428647846
170,11,314.362124,0.426504607
171,44,145.3972046,0.424372084
172,22,194.9862995,0.422250224
173,30,228.0504138,0.420138973
174,89,611.4221138,0.418038278
175,29,730.9644251,0.415948086
176,116,2233.496924,0.413868346
177,-25,1090.082028,0.411799004
178,97,781.8160324,0.409740009
179,52,426.8596196,0.407691309
180,-5,478.0563722,0.405652853
181,1,372.075407,0.403624588
182,47,849.4725966,0.401606465
183,36,508.3419652,0.399598433
184,79,517.938982,0.397600441
185,5,291.2273026,0.395612439
186,25,805.0697355,0.393634376
187,128,684.5376918,0.391666205
188,-3,724.0931261,0.389707874
189,111,719.5118127,0.387759334
190,18,642.4938061,0.385820537
191,-5,288.532541,0.383891435
192,39,337.6082518,0.381971978
193,-2,433.1359158,0.380062118
194,14,134.3130107,0.378161807
195,30,615.2751746,0.376270998
196,-1,165.8599105,0.374389643
197,-2,150.5518689,0.372517695
198,-6,626.8918452,0.370655106
199,-113,279.4245322,0.368801831
200,45,387.2631044,0.366957822
201,1,207.6747689,0.365123033
202,-21,102.4120939,0.363297417
203,229,1545.315875,0.36148093
204,64,490.5690117,0.359673526
205,-26,232.8069272,0.357875158
206,-17,91.93192863,0.356085782
207,28,268.1167569,0.354305353
208,16,709.8372903,0.352533827
209,9,165.6288066,0.350771157
210,110,552.1924686,0.349017302
211,-2,620.4979191,0.347272215
212,83,1456.940504,0.345535854
213,-32,350.7829752,0.343808175
214,33,1003.346931,0.342089134
