Episode,Reward,Loss,Epsilon
1,33.530142352435504,133.9540439993143,1.0
2,89.96974707770877,35.3269345164299,0.997
3,41.12817611718329,12.003281407058239,0.994009
4,79.48022439330933,20.08687660843134,0.991026973
5,-6.585724427799133,18.55768709257245,0.988053892081
6,31.80028130710575,10.467864878475666,0.985089730404757
7,48.27387035290671,13.787366278469563,0.9821344612135428
8,-8.00734150270865,8.588731050491333,0.9791880578299021
9,26.836063993033857,18.67832387238741,0.9762504936564125
10,32.812680098998484,11.948833588510752,0.9733217421754432
11,39.375436442273156,7.260112673044205,0.9704017769489168
12,28.772254439401184,8.118526015430689,0.9674905716180701
13,25.105847841139315,9.314831510186195,0.9645880999032158
14,60.46814112954459,7.694674041122198,0.9616943356035061
15,67.83997341910282,8.888095930218697,0.9588092525966956
16,5.66995033059815,4.859985049813986,0.9559328248389055
17,11.772473414478595,6.651724327355623,0.9530650263643888
18,10.386179053358703,5.759289465844631,0.9502058312852957
19,24.751026465849904,8.064516633749008,0.9473552137914398
20,62.92733705363794,11.596414767205715,0.9445131481500655
21,39.8303654013733,15.626207709312439,0.9416796087056153
22,-11.647495528300091,38.10050769895315,0.9388545698794984
23,59.08342107235547,45.64216597378254,0.93603800616986
24,-11.315224919219503,19.827255755662918,0.9332298921513504
25,-14.926934475767496,13.504403628408909,0.9304302024748964
26,45.300610935204766,13.993265248835087,0.9276389118674717
27,76.32925117322034,18.952052801847458,0.9248559951318693
28,68.64029643729788,13.069224081933498,0.9220814271464737
29,31.89406855142626,6.480288252234459,0.9193151828650342
30,28.079107258841244,4.848154306411743,0.9165572373164391
31,41.4098809038019,9.89294508844614,0.9138075656044898
32,11.63887091228193,5.4300474636256695,0.9110661429076764
33,24.83951011115978,4.044211205095053,0.9083329444789534
34,12.400742457664041,9.204987119883299,0.9056079456455165
35,36.249498613064254,12.418696846812963,0.90289112180858
36,55.649826359648806,12.834207899868488,0.9001824484431542
37,32.00507571975176,11.980090465396643,0.8974819010978248
38,3.8788910901024556,11.591501295566559,0.8947894553945313
39,18.21559245216411,6.394031852483749,0.8921050870283477
40,77.69022887761159,19.425346359610558,0.8894287717672626
41,29.090708170519726,8.719962909817696,0.8867604854519608
42,40.96240149885519,7.44541585072875,0.884100203995605
43,101.72896096939846,14.908638782799244,0.8814479033836181
44,17.25993887231504,21.9716221280396,0.8788035596734672
45,6.974108629091601,27.80652740597725,0.8761671489944468
46,3.3898291103847624,15.545328229665756,0.8735386475474635
47,9.218540083595087,22.118642129004,0.8709180316048211
48,8.048664774905475,10.65557861328125,0.8683052775100066
49,23.68878182135266,13.1754734441638,0.8657003616774767
50,101.08674990815084,20.063175909221172,0.8631032605924442
51,31.163645476147757,50.33385553956032,0.860513950810667
52,8.918608636327399,8.02972211688757,0.857932408958235
53,53.864095544700916,15.040603332221508,0.8553586117313603
54,10.191893240543553,5.908214256167412,0.8527925358961662
1,6.920443150558983,0.0,1.0
2,35.418784289823,23.208887100219727,0.997
3,31.627730821446725,62.61401730775833,0.994009
4,18.6881968631099,10.448990762233734,0.991026973
5,12.413504593899534,10.372834078967571,0.988053892081
6,37.47001765457257,6.8495285995304585,0.985089730404757
7,18.96830690338911,6.205062747001648,0.9821344612135428
8,31.38656876462985,6.702662296593189,0.9791880578299021
9,10.303291393552943,9.167340625077486,0.9762504936564125
10,75.89670545485328,11.670056663453579,0.9733217421754432
11,27.278329414088937,10.63300321623683,0.9704017769489168
12,16.608755321430067,3.9681668914854527,0.9674905716180701
13,57.581893088832274,5.660313706845045,0.9645880999032158
14,-7.202541976382975,7.171869423240423,0.9616943356035061
15,25.09082453944069,8.079560942947865,0.9588092525966956
16,9.962453474992891,37.54445143043995,0.9559328248389055
